component_file	component_name	description
component-advertisements.html	Advertisements	Built to the Better Ad Standards
component-add-to-home.html	Add To Home - PWA	Invite Visitors to add to Their Homapage
component-accordions.html	Accordions	Great for FAQ's and Compacting Content
component-action-sheets.html	Action Sheets	Interact with Users and Show Messages
component-action-modals.html	Action Modals	Interact with Users and Show Messages
component-auto-dark.html	Auto Dark Mode	Detect and Auto Activate Dark Mode
component-buttons.html	Buttons	Designed with for Multiple Purposes
component-back-to-top.html	Back to Top	Badge or Single Button to go Back Up!
component-charts.html	Charts	Powered by charts.js for Power and Features
component-chips.html	Chips	Small Elements to Show Small Information
component-cookie-box.html	Cookie Box	Consent or Show Messages with Cookies
component-card-content.html	Cards for Content	Multiple Designs for Inserting your Content
component-card-images.html	Cards with Images	Powered by the Beautiful Color pack included
component-card-effects.html	Card with Effects	Ken Burns, Rotate & Infinite Background
component-columns.html	Columns	One? Two? Three? We have them all!
component-colors.html	Color Packs	A beautiful and customizable Color Pallete.
component-collapse.html	Collapse	Great for Holding Links and Small Menus
component-dividers.html	Dividers	Beautiful Spacing Between your Elements
component-disqus-comments.html	Disqus Comments	Embed Disqus Comments
component-emoji.html	Emojis	Unicode Emojis are Supported
component-embeds.html	Embeds	Classic Embeds
component-embedly.html	Embedly	Embed Anything
component-file-upload.html	File Upload	Upload Images Using Web API's
component-facebook-comments.html	Facebook Comments	Embed Facebook Comments
component-geo-location.html	Geo Location	Get Location Using your Device
component-graphs.html	Graphs	Powered by Charts.js for Power and Features
component-google-fonts.html	Google Fonts	Use any Google Font in our Products
component-headers.html	Header Styles	A Variety of Headers Styles Available
component-footers.html	Footer Menu Styles	Three Awesome Styles Available
component-inputs.html	Inputs	From Text to Sliders. We have them all
component-icons.html	Icons	As beautiful as Buttons, but smaller.
component-icon-font.html	Icon Font	Powered by FontAwesome 5
component-list-groups.html	Link List	This page is a Link List. There are more
component-lightbox.html	Light Box	This page is a Link List. There are more
component-notifications-mobile.html	Notifications Mobile	Designed to Feel Like Mobile Notifications
component-notifications-alerts.html	Notifications Alerts	Like Classic Web Designed Alerts
component-os-detection.html	OS Detection	Detect what device is browsing your page
component-offline-detection.html	Offline Detection	Turn off your internet. You'll see a Warning
component-quotes.html	Quotes	Share a great quote. We have the style
component-qr-generator.html	QR Codes	QR Code Generator and Pre-Generator
component-pagination.html	Pagination	Move Between Pages with Ease
component-progress-bars.html	Progress Bars	Examples of Progress Bars
component-preloaders.html	Preloaders	Examples of Preloaders for your Pages
component-pricing.html	Pricing Tables	You can use them in Carousels/Sliders as well
component-reviews.html	Reviews	Share the awesome feedback you get
component-reading-time.html	Reading Time	Showing the progress of each Page
component-carousels.html	Sliders / Carousels	Powered by OwlCarousel. Fast, light, flexible.
component-snackbars.html	Snacbkars	Little notification boxes from the bottom
component-socials.html	Socials	Sharing is caring and gets visitors
component-sharing.html	Social Sharing	Sharing is caring and gets visitors
component-search.html	Search	A fully functional seach system
component-tabs.html	Tabs	Compact content with classic and pill tabs
component-tables.html	Tables	Insert all the information you need.
component-text-sizer.html	Text Resizer	Increase or Decrease Text Size
component-toasts.html	Toasts	Simple boxes that fly up and fall down
component-toggles.html	Toggles	Toggle your content on or off, hidden or shown
component-typography.html	Typography	All the typography styles you'll need
component-user-list.html	User Lists	Multiple User Lists Styles & Effects
component-vibrate.html	Vibrate	Effect You Buttons
