normalized_name,group_size,platforms,max_rubber_refs,candidate_uuid_ordered,candidate_platform_ordered
arron chandler,4,2,21,3435928f-1268-436a-8c50-a2d9d8e2e1e4;d56e31e1-ba90-4181-bd60-3923156cd32c;f53e799e-fa00-40c0-baab-ae8d47f5a769;ee63490f-8398-4f11-80dd-a6c071d2231a,TableTennis365;TT Leagues;TableTennis365;TableTennis365
barbara chabior,4,2,36,74da4c51-f032-4956-b776-2bab3e4d30a6;8579b60d-b2c8-4ee0-b6d2-ebfa6e9c2d46;889dd0f5-8906-4776-9c8a-db96f37205c8;26b4dc06-f501-49de-92ee-ecec54d1d578,TableTennis365;TT Leagues;TableTennis365;TableTennis365
bruce kettle,3,2,41,6930bd5e-ca0a-4675-9aa2-11b720bcd412;ba5e7710-b832-47b6-a0af-9a0a3dd18877;ed752e5c-2b55-49ac-93fc-2e3ad401fa96,TT Leagues;TableTennis365;TableTennis365
charles yeung,4,2,34,a349fdce-9ae3-48d3-9fee-7d5b5da5d83e;9640ecb0-d274-4523-8e6c-dbe4a83b62c6;e2049ee1-8748-4bee-85fc-7fd87fba6696;d1273e99-6f7e-4893-9914-24cbc330c028,TableTennis365;TableTennis365;TableTennis365;TT Leagues
colin barham,3,2,38,72ba4b27-01aa-467b-bda8-87940312069e;06da9f5f-1aaf-4cc3-98eb-62c4dc444a79;4240d44a-49f3-4644-96c3-5f7eb147a79d,TT Leagues;TableTennis365;TableTennis365
daniel bronziet,3,2,12,3914507d-c045-4c8c-90c1-e5be709b0c19;31cc7ace-337a-41c4-8327-d42fa09286e2;e6d3b7a3-14d8-4ac5-a81c-d3ab1cefe445,TableTennis365;TT Leagues;TableTennis365
daniel patynski,3,2,51,d62173ba-918b-43e2-82f1-48c8e32db44b;0805822d-70ba-46a9-b57e-60232acbb18a;a87dbcb7-3b04-4179-9c4b-34268fac4875,TableTennis365;TableTennis365;TT Leagues
daniel young,3,2,68,ea3c0753-39db-47d8-a890-1ff6bfee062e;6eb63348-b9f2-48e5-8142-4879abe7d22d;f324c0e3-5c8b-4fa4-8efa-0554e321e840,TT Leagues;TableTennis365;TableTennis365
david gatheral,3,2,39,a508182a-75b1-4a0b-933d-229e2d914ac0;62ead5bb-d6fd-4fcf-af67-ed0ba6e79f60;6ac0bf53-31be-4a3d-952b-2b51a698df60,TT Leagues;TableTennis365;TableTennis365
david woolmer,4,2,33,b64d287d-0680-42d2-9b28-30c0a414cb1d;12639e1d-ef97-494a-9d43-5e2652de25d1;73c1a64c-760f-46b1-9c86-85d0aa0f3853;6f8fe0f7-c534-4113-852c-7699857ce4e4,TableTennis365;TableTennis365;TableTennis365;TT Leagues
dawn baldry,3,2,39,6d902d97-be84-4dd2-99bb-a9b21bff0519;e7eb1844-d208-49ce-975a-627ac687430e;bf79383b-3844-40ff-9ece-1ebc584c83e4,TT Leagues;TableTennis365;TableTennis365
