country,region,league_name,platform,active_url,current_season_name,current_divisions,seasons_available,current_targets_total,current_targets_scraped,current_status,history_targets_total,history_targets_scraped,history_status,overall_status,started_at,finished_at,notes
England,Avon,Bath Table Tennis League,ttleagues,https://bath.ttleagues.com,Bath & District League 2024-25,4,11,4,4,completed,16,16,completed,completed,2026-03-15T08:43:06.431Z,2026-03-15T08:43:14.703Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Avon,Bristol Table Tennis League,ttleagues,https://bristol.ttleagues.com,Senior Winter 2025-26,7,10,7,7,completed,34,34,completed,completed,2026-03-15T08:43:14.705Z,2026-03-15T08:44:39.667Z,Verified against the live TT Leagues competitions and divisions APIs via the secondary website link.
England,Bedfordshire,Bedford Table Tennis League,ttleagues,https://bedford.ttleagues.com,Winter Season 2025-26,4,6,4,4,completed,21,21,completed,completed,2026-03-15T08:44:39.672Z,2026-03-15T08:44:45.750Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Bedfordshire,Luton Table Tennis League,tt365,https://www.tabletennis365.com/luton,Luton TTL 2025-26,1,8,1,1,completed,15,15,completed,completed,2026-03-15T08:44:45.755Z,2026-03-15T08:45:30.685Z,Verified against the live TT365 tables and archive pages.
England,Berkshire,Bracknell and Wokingham Table Tennis League,tt365,https://www.tabletennis365.com/bracknellandwokingham,Season 2025-2026,3,7,3,3,completed,18,18,completed,completed,2026-03-15T08:45:30.687Z,2026-03-15T08:46:41.038Z,Verified against the live TT365 tables and archive pages.
England,Berkshire,Maidenhead Table Tennis League,ttleagues,https://maidenhead.ttleagues.com,Maidenhead Table Tennis League 2019 - 2020,3,10,3,3,completed,9,9,completed,completed,2026-03-15T08:46:41.039Z,2026-03-15T08:46:45.183Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Berkshire,Newbury Table Tennis League,ttleagues,https://newbury.ttleagues.com,Winter League 2025/26,3,19,3,3,completed,12,12,completed,completed,2026-03-15T08:46:45.184Z,2026-03-15T08:46:46.976Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Berkshire,Reading & District Table Tennis Association,tt365,https://www.tabletennis365.com/reading,Senior 2025-26,4,7,4,4,completed,24,24,completed,completed,2026-03-15T08:46:46.977Z,2026-03-15T08:50:59.737Z,Verified against the live TT365 tables and archive pages.
England,Buckinghamshire,Aylesbury Table Tennis League,ttleagues,https://aylesbury.ttleagues.com,Aylesbury Winter League 2025_2026,5,12,5,5,completed,21,21,completed,completed,2026-03-15T08:50:59.738Z,2026-03-15T08:51:38.676Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Buckinghamshire,Chalfonts Table Tennis League,ttleagues,https://chalfonts.ttleagues.com,Winter 2025-26,2,8,2,2,completed,11,11,completed,completed,2026-03-15T08:51:38.681Z,2026-03-15T08:51:46.265Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Buckinghamshire,Chiltern Table Tennis League,ttleagues,https://chiltern.ttleagues.com,Chiltern League 2023-24,2,11,2,2,completed,8,8,completed,completed,2026-03-15T08:51:46.266Z,2026-03-15T08:51:47.612Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Buckinghamshire,High Wycombe Table Tennis League,ttleagues,https://highwycombe.ttleagues.com,High Wycombe & District Table Tennis League 2021-22,4,11,4,4,completed,16,16,completed,completed,2026-03-15T08:51:47.615Z,2026-03-15T08:51:52.088Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cambridgeshire,Cambridge Table Tennis League,ttleagues,https://cambridge.ttleagues.com,Cambridge Winter League 2022/2023,4,11,4,4,completed,17,17,completed,completed,2026-03-15T08:51:52.091Z,2026-03-15T08:53:27.262Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cambridgeshire,Ely & District Table Tennis League,ttleagues,https://elydistrict.ttleagues.com,Ely & District League 2019-2020,3,11,3,3,completed,12,12,completed,completed,2026-03-15T08:53:27.264Z,2026-03-15T08:53:48.208Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cambridgeshire,Peterborough Table Tennis League,ttleagues,https://peterborough.ttleagues.com,Winter 2019-20,4,11,4,4,completed,11,11,completed,completed,2026-03-15T08:53:48.211Z,2026-03-15T08:54:40.583Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Chester and Ellesmere Port Table Tennis League,ttleagues,https://chesterandellesmereport.ttleagues.com,Chester & EP 2025-26 Season,4,7,4,4,completed,18,18,completed,completed,2026-03-15T08:54:40.587Z,2026-03-15T08:54:44.657Z,Verified against the live TT Leagues competitions and divisions APIs.
England,Cheshire,Crewe Table Tennis League,ttleagues,https://crewe.ttleagues.com,2023-24 Open Prelim Rounds,8,26,8,8,completed,16,16,completed,completed,2026-03-15T08:54:44.661Z,2026-03-15T08:54:47.220Z,Verified against the live TT Leagues competitions and divisions APIs.
